date,frame_number,bike_number,bus_number,car_number,no_park_number,park_number,car distance
2018-10-18,5,1,0,0,1,0,6.88125
2018-10-18,5,1,0,0,1,0,6.88125
2018-10-18,10,1,0,0,1,0,6.88125
2018-10-18,15,1,0,0,1,0,6.88125
2018-10-18,20,1,0,0,1,0,6.88125
2018-10-18,5,1,1,0,2,0,6.88125
2018-10-18,10,1,2,0,2,2,6.88125
2018-10-18,15,1,2,0,2,2,6.88125
2018-10-18,20,1,1,0,2,1,6.88125
2018-10-18,25,1,1,0,2,0,6.88125
2018-10-18,30,1,1,0,2,0,6.88125
2018-10-18,35,1,1,0,2,0,6.88125
2018-10-18,40,1,1,0,2,0,6.88125
2018-10-18,45,1,1,0,2,0,6.88125
2018-10-18,50,1,1,0,2,0,6.88125
2018-10-18,55,1,1,0,2,0,6.88125
